date,Month,Day,calender day,Day_C,Year ,item,TotalSales10
3/2/2013,3,2,Saturday,6,2013,1,203
3/3/2013,3,3,Sunday,7,2013,1,198
3/4/2013,3,4,Monday,1,2013,1,156
3/5/2013,3,5,Tuesday,2,2013,1,150
3/6/2013,3,6,Wednesday,3,2013,1,170
3/7/2013,3,7,Thursday,4,2013,1,169
3/8/2013,3,8,Friday,5,2013,1,166
3/9/2013,3,9,Saturday,6,2013,1,176
3/10/2013,3,10,Sunday,7,2013,1,195
3/11/2013,3,11,Monday,1,2013,1,133
3/12/2013,3,12,Tuesday,2,2013,1,171
3/13/2013,3,13,Wednesday,3,2013,1,159
3/14/2013,3,14,Thursday,4,2013,1,162
3/15/2013,3,15,Friday,5,2013,1,160
3/16/2013,3,16,Saturday,6,2013,1,161
3/17/2013,3,17,Sunday,7,2013,1,188
3/18/2013,3,18,Monday,1,2013,1,130
3/19/2013,3,19,Tuesday,2,2013,1,153
3/20/2013,3,20,Wednesday,3,2013,1,157
3/21/2013,3,21,Thursday,4,2013,1,173
3/22/2013,3,22,Friday,5,2013,1,178
3/23/2013,3,23,Saturday,6,2013,1,178
3/24/2013,3,24,Sunday,7,2013,1,191
3/25/2013,3,25,Monday,1,2013,1,134
3/26/2013,3,26,Tuesday,2,2013,1,148
3/27/2013,3,27,Wednesday,3,2013,1,136
3/28/2013,3,28,Thursday,4,2013,1,166
3/29/2013,3,29,Friday,5,2013,1,181
3/30/2013,3,30,Saturday,6,2013,1,181
3/31/2013,3,31,Sunday,7,2013,1,203
4/1/2013,4,1,Monday,1,2013,1,134
4/2/2013,4,2,Tuesday,2,2013,1,187
4/3/2013,4,3,Wednesday,3,2013,1,210
4/4/2013,4,4,Thursday,4,2013,1,229
4/5/2013,4,5,Friday,5,2013,1,199
4/6/2013,4,6,Saturday,6,2013,1,219
4/7/2013,4,7,Sunday,7,2013,1,244
4/8/2013,4,8,Monday,1,2013,1,167
4/9/2013,4,9,Tuesday,2,2013,1,149
4/10/2013,4,10,Wednesday,3,2013,1,183
4/11/2013,4,11,Thursday,4,2013,1,202
4/12/2013,4,12,Friday,5,2013,1,209
4/13/2013,4,13,Saturday,6,2013,1,210
4/14/2013,4,14,Sunday,7,2013,1,259
4/15/2013,4,15,Monday,1,2013,1,139
4/16/2013,4,16,Tuesday,2,2013,1,155
4/17/2013,4,17,Wednesday,3,2013,1,174
4/18/2013,4,18,Thursday,4,2013,1,209
4/19/2013,4,19,Friday,5,2013,1,196
4/20/2013,4,20,Saturday,6,2013,1,221
4/21/2013,4,21,Sunday,7,2013,1,238
4/22/2013,4,22,Monday,1,2013,1,144
4/23/2013,4,23,Tuesday,2,2013,1,164
4/24/2013,4,24,Wednesday,3,2013,1,173
4/25/2013,4,25,Thursday,4,2013,1,204
4/26/2013,4,26,Friday,5,2013,1,203
4/27/2013,4,27,Saturday,6,2013,1,208
4/28/2013,4,28,Sunday,7,2013,1,230
4/29/2013,4,29,Monday,1,2013,1,137
4/30/2013,4,30,Tuesday,2,2013,1,187
5/1/2013,5,1,Wednesday,3,2013,1,183
5/2/2013,5,2,Thursday,4,2013,1,214
5/3/2013,5,3,Friday,5,2013,1,190
5/4/2013,5,4,Saturday,6,2013,1,247
5/5/2013,5,5,Sunday,7,2013,1,226
5/6/2013,5,6,Monday,1,2013,1,176
5/7/2013,5,7,Tuesday,2,2013,1,195
5/8/2013,5,8,Wednesday,3,2013,1,179
5/9/2013,5,9,Thursday,4,2013,1,209
5/10/2013,5,10,Friday,5,2013,1,232
5/11/2013,5,11,Saturday,6,2013,1,208
5/12/2013,5,12,Sunday,7,2013,1,224
5/13/2013,5,13,Monday,1,2013,1,157
5/14/2013,5,14,Tuesday,2,2013,1,196
5/15/2013,5,15,Wednesday,3,2013,1,187
5/16/2013,5,16,Thursday,4,2013,1,190
5/17/2013,5,17,Friday,5,2013,1,220
5/18/2013,5,18,Saturday,6,2013,1,223
5/19/2013,5,19,Sunday,7,2013,1,255
5/20/2013,5,20,Monday,1,2013,1,166
5/21/2013,5,21,Tuesday,2,2013,1,167
5/22/2013,5,22,Wednesday,3,2013,1,198
5/23/2013,5,23,Thursday,4,2013,1,201
5/24/2013,5,24,Friday,5,2013,1,213
5/25/2013,5,25,Saturday,6,2013,1,250
5/26/2013,5,26,Sunday,7,2013,1,259
5/27/2013,5,27,Monday,1,2013,1,155
5/28/2013,5,28,Tuesday,2,2013,1,194
5/29/2013,5,29,Wednesday,3,2013,1,193
5/30/2013,5,30,Thursday,4,2013,1,177
5/31/2013,5,31,Friday,5,2013,1,214
6/1/2013,6,1,Saturday,6,2013,1,263
6/2/2013,6,2,Sunday,7,2013,1,274
6/3/2013,6,3,Monday,1,2013,1,176
6/4/2013,6,4,Tuesday,2,2013,1,208
6/5/2013,6,5,Wednesday,3,2013,1,218
6/6/2013,6,6,Thursday,4,2013,1,186
6/7/2013,6,7,Friday,5,2013,1,234
6/8/2013,6,8,Saturday,6,2013,1,251
6/9/2013,6,9,Sunday,7,2013,1,256
6/10/2013,6,10,Monday,1,2013,1,172
6/11/2013,6,11,Tuesday,2,2013,1,227
6/12/2013,6,12,Wednesday,3,2013,1,217
6/13/2013,6,13,Thursday,4,2013,1,224
6/14/2013,6,14,Friday,5,2013,1,220
6/15/2013,6,15,Saturday,6,2013,1,244
6/16/2013,6,16,Sunday,7,2013,1,256
6/17/2013,6,17,Monday,1,2013,1,190
6/18/2013,6,18,Tuesday,2,2013,1,199
6/19/2013,6,19,Wednesday,3,2013,1,203
6/20/2013,6,20,Thursday,4,2013,1,225
6/21/2013,6,21,Friday,5,2013,1,245
6/22/2013,6,22,Saturday,6,2013,1,240
6/23/2013,6,23,Sunday,7,2013,1,263
6/24/2013,6,24,Monday,1,2013,1,188
6/25/2013,6,25,Tuesday,2,2013,1,200
6/26/2013,6,26,Wednesday,3,2013,1,195
6/27/2013,6,27,Thursday,4,2013,1,226
6/28/2013,6,28,Friday,5,2013,1,213
6/29/2013,6,29,Saturday,6,2013,1,260
6/30/2013,6,30,Sunday,7,2013,1,266
7/1/2013,7,1,Monday,1,2013,1,206
7/2/2013,7,2,Tuesday,2,2013,1,202
7/3/2013,7,3,Wednesday,3,2013,1,198
7/4/2013,7,4,Thursday,4,2013,1,215
7/5/2013,7,5,Friday,5,2013,1,261
7/6/2013,7,6,Saturday,6,2013,1,253
7/7/2013,7,7,Sunday,7,2013,1,258
7/8/2013,7,8,Monday,1,2013,1,202
7/9/2013,7,9,Tuesday,2,2013,1,230
7/10/2013,7,10,Wednesday,3,2013,1,209
7/11/2013,7,11,Thursday,4,2013,1,217
7/12/2013,7,12,Friday,5,2013,1,264
7/13/2013,7,13,Saturday,6,2013,1,265
7/14/2013,7,14,Sunday,7,2013,1,295
7/15/2013,7,15,Monday,1,2013,1,197
7/16/2013,7,16,Tuesday,2,2013,1,201
7/17/2013,7,17,Wednesday,3,2013,1,211
7/18/2013,7,18,Thursday,4,2013,1,243
7/19/2013,7,19,Friday,5,2013,1,260
7/20/2013,7,20,Saturday,6,2013,1,262
7/21/2013,7,21,Sunday,7,2013,1,275
7/22/2013,7,22,Monday,1,2013,1,183
7/23/2013,7,23,Tuesday,2,2013,1,195
7/24/2013,7,24,Wednesday,3,2013,1,205
7/25/2013,7,25,Thursday,4,2013,1,246
7/26/2013,7,26,Friday,5,2013,1,247
7/27/2013,7,27,Saturday,6,2013,1,258
7/28/2013,7,28,Sunday,7,2013,1,264
7/29/2013,7,29,Monday,1,2013,1,177
7/30/2013,7,30,Tuesday,2,2013,1,200
7/31/2013,7,31,Wednesday,3,2013,1,208
8/1/2013,8,1,Thursday,4,2013,1,203
8/2/2013,8,2,Friday,5,2013,1,214
8/3/2013,8,3,Saturday,6,2013,1,246
8/4/2013,8,4,Sunday,7,2013,1,239
8/5/2013,8,5,Monday,1,2013,1,188
8/6/2013,8,6,Tuesday,2,2013,1,183
8/7/2013,8,7,Wednesday,3,2013,1,219
8/8/2013,8,8,Thursday,4,2013,1,190
8/9/2013,8,9,Friday,5,2013,1,206
8/10/2013,8,10,Saturday,6,2013,1,231
8/11/2013,8,11,Sunday,7,2013,1,250
8/12/2013,8,12,Monday,1,2013,1,153
8/13/2013,8,13,Tuesday,2,2013,1,170
8/14/2013,8,14,Wednesday,3,2013,1,212
8/15/2013,8,15,Thursday,4,2013,1,222
8/16/2013,8,16,Friday,5,2013,1,208
8/17/2013,8,17,Saturday,6,2013,1,233
8/18/2013,8,18,Sunday,7,2013,1,232
8/19/2013,8,19,Monday,1,2013,1,165
8/20/2013,8,20,Tuesday,2,2013,1,185
8/21/2013,8,21,Wednesday,3,2013,1,202
8/22/2013,8,22,Thursday,4,2013,1,218
8/23/2013,8,23,Friday,5,2013,1,237
8/24/2013,8,24,Saturday,6,2013,1,210
8/25/2013,8,25,Sunday,7,2013,1,279
8/26/2013,8,26,Monday,1,2013,1,175
8/27/2013,8,27,Tuesday,2,2013,1,176
8/28/2013,8,28,Wednesday,3,2013,1,195
8/29/2013,8,29,Thursday,4,2013,1,217
8/30/2013,8,30,Friday,5,2013,1,235
8/31/2013,8,31,Saturday,6,2013,1,199
9/1/2013,9,1,Sunday,7,2013,1,227
9/2/2013,9,2,Monday,1,2013,1,134
9/3/2013,9,3,Tuesday,2,2013,1,187
9/4/2013,9,4,Wednesday,3,2013,1,169
9/5/2013,9,5,Thursday,4,2013,1,199
9/6/2013,9,6,Friday,5,2013,1,210
9/7/2013,9,7,Saturday,6,2013,1,196
9/8/2013,9,8,Sunday,7,2013,1,229
9/9/2013,9,9,Monday,1,2013,1,158
9/10/2013,9,10,Tuesday,2,2013,1,191
9/11/2013,9,11,Wednesday,3,2013,1,187
9/12/2013,9,12,Thursday,4,2013,1,196
9/13/2013,9,13,Friday,5,2013,1,203
9/14/2013,9,14,Saturday,6,2013,1,222
9/15/2013,9,15,Sunday,7,2013,1,229
9/16/2013,9,16,Monday,1,2013,1,136
9/17/2013,9,17,Tuesday,2,2013,1,165
9/18/2013,9,18,Wednesday,3,2013,1,151
9/19/2013,9,19,Thursday,4,2013,1,203
9/20/2013,9,20,Friday,5,2013,1,164
9/21/2013,9,21,Saturday,6,2013,1,219
9/22/2013,9,22,Sunday,7,2013,1,235
9/23/2013,9,23,Monday,1,2013,1,176
9/24/2013,9,24,Tuesday,2,2013,1,176
9/25/2013,9,25,Wednesday,3,2013,1,175
9/26/2013,9,26,Thursday,4,2013,1,199
9/27/2013,9,27,Friday,5,2013,1,183
9/28/2013,9,28,Saturday,6,2013,1,216
9/29/2013,9,29,Sunday,7,2013,1,217
9/30/2013,9,30,Monday,1,2013,1,141
10/1/2013,10,1,Tuesday,2,2013,1,159
10/2/2013,10,2,Wednesday,3,2013,1,178
10/3/2013,10,3,Thursday,4,2013,1,189
10/4/2013,10,4,Friday,5,2013,1,203
10/5/2013,10,5,Saturday,6,2013,1,187
10/6/2013,10,6,Sunday,7,2013,1,200
10/7/2013,10,7,Monday,1,2013,1,150
10/8/2013,10,8,Tuesday,2,2013,1,162
10/9/2013,10,9,Wednesday,3,2013,1,174
10/10/2013,10,10,Thursday,4,2013,1,185
10/11/2013,10,11,Friday,5,2013,1,190
10/12/2013,10,12,Saturday,6,2013,1,220
10/13/2013,10,13,Sunday,7,2013,1,198
10/14/2013,10,14,Monday,1,2013,1,150
10/15/2013,10,15,Tuesday,2,2013,1,172
10/16/2013,10,16,Wednesday,3,2013,1,153
10/17/2013,10,17,Thursday,4,2013,1,192
10/18/2013,10,18,Friday,5,2013,1,174
10/19/2013,10,19,Saturday,6,2013,1,210
10/20/2013,10,20,Sunday,7,2013,1,207
10/21/2013,10,21,Monday,1,2013,1,110
10/22/2013,10,22,Tuesday,2,2013,1,163
10/23/2013,10,23,Wednesday,3,2013,1,167
10/24/2013,10,24,Thursday,4,2013,1,177
10/25/2013,10,25,Friday,5,2013,1,174
10/26/2013,10,26,Saturday,6,2013,1,210
10/27/2013,10,27,Sunday,7,2013,1,198
10/28/2013,10,28,Monday,1,2013,1,136
10/29/2013,10,29,Tuesday,2,2013,1,157
10/30/2013,10,30,Wednesday,3,2013,1,171
10/31/2013,10,31,Thursday,4,2013,1,181
11/1/2013,11,1,Friday,5,2013,1,244
11/2/2013,11,2,Saturday,6,2013,1,223
11/3/2013,11,3,Sunday,7,2013,1,226
11/4/2013,11,4,Monday,1,2013,1,162
11/5/2013,11,5,Tuesday,2,2013,1,175
11/6/2013,11,6,Wednesday,3,2013,1,173
11/7/2013,11,7,Thursday,4,2013,1,167
11/8/2013,11,8,Friday,5,2013,1,231
11/9/2013,11,9,Saturday,6,2013,1,226
11/10/2013,11,10,Sunday,7,2013,1,255
11/11/2013,11,11,Monday,1,2013,1,162
11/12/2013,11,12,Tuesday,2,2013,1,163
11/13/2013,11,13,Wednesday,3,2013,1,180
11/14/2013,11,14,Thursday,4,2013,1,186
11/15/2013,11,15,Friday,5,2013,1,200
11/16/2013,11,16,Saturday,6,2013,1,205
11/17/2013,11,17,Sunday,7,2013,1,225
11/18/2013,11,18,Monday,1,2013,1,158
11/19/2013,11,19,Tuesday,2,2013,1,194
11/20/2013,11,20,Wednesday,3,2013,1,185
11/21/2013,11,21,Thursday,4,2013,1,203
11/22/2013,11,22,Friday,5,2013,1,189
11/23/2013,11,23,Saturday,6,2013,1,225
11/24/2013,11,24,Sunday,7,2013,1,236
11/25/2013,11,25,Monday,1,2013,1,174
11/26/2013,11,26,Tuesday,2,2013,1,184
11/27/2013,11,27,Wednesday,3,2013,1,181
11/28/2013,11,28,Thursday,4,2013,1,205
11/29/2013,11,29,Friday,5,2013,1,196
11/30/2013,11,30,Saturday,6,2013,1,225
12/1/2013,12,1,Sunday,7,2013,1,181
12/2/2013,12,2,Monday,1,2013,1,104
12/3/2013,12,3,Tuesday,2,2013,1,144
12/4/2013,12,4,Wednesday,3,2013,1,143
12/5/2013,12,5,Thursday,4,2013,1,157
12/6/2013,12,6,Friday,5,2013,1,155
12/7/2013,12,7,Saturday,6,2013,1,156
12/8/2013,12,8,Sunday,7,2013,1,157
12/9/2013,12,9,Monday,1,2013,1,84
12/10/2013,12,10,Tuesday,2,2013,1,129
12/11/2013,12,11,Wednesday,3,2013,1,129
12/12/2013,12,12,Thursday,4,2013,1,110
12/13/2013,12,13,Friday,5,2013,1,155
12/14/2013,12,14,Saturday,6,2013,1,160
12/15/2013,12,15,Sunday,7,2013,1,147
12/16/2013,12,16,Monday,1,2013,1,113
12/17/2013,12,17,Tuesday,2,2013,1,129
12/18/2013,12,18,Wednesday,3,2013,1,141
12/19/2013,12,19,Thursday,4,2013,1,128
12/20/2013,12,20,Friday,5,2013,1,159
12/21/2013,12,21,Saturday,6,2013,1,159
12/22/2013,12,22,Sunday,7,2013,1,155
12/23/2013,12,23,Monday,1,2013,1,102
12/24/2013,12,24,Tuesday,2,2013,1,132
12/25/2013,12,25,Wednesday,3,2013,1,124
12/26/2013,12,26,Thursday,4,2013,1,127
12/27/2013,12,27,Friday,5,2013,1,168
12/28/2013,12,28,Saturday,6,2013,1,156
12/29/2013,12,29,Sunday,7,2013,1,168
12/30/2013,12,30,Monday,1,2013,1,106
12/31/2013,12,31,Tuesday,2,2013,1,131
1/1/2014,1,1,Wednesday,3,2014,1,109
1/2/2014,1,2,Thursday,4,2014,1,128
1/3/2014,1,3,Friday,5,2014,1,146
1/4/2014,1,4,Saturday,6,2014,1,155
1/5/2014,1,5,Sunday,7,2014,1,179
1/6/2014,1,6,Monday,1,2014,1,135
1/7/2014,1,7,Tuesday,2,2014,1,106
1/8/2014,1,8,Wednesday,3,2014,1,131
1/9/2014,1,9,Thursday,4,2014,1,127
1/10/2014,1,10,Friday,5,2014,1,151
1/11/2014,1,11,Saturday,6,2014,1,159
1/12/2014,1,12,Sunday,7,2014,1,163
1/13/2014,1,13,Monday,1,2014,1,97
1/14/2014,1,14,Tuesday,2,2014,1,137
1/15/2014,1,15,Wednesday,3,2014,1,127
1/16/2014,1,16,Thursday,4,2014,1,157
1/17/2014,1,17,Friday,5,2014,1,149
1/18/2014,1,18,Saturday,6,2014,1,145
1/19/2014,1,19,Sunday,7,2014,1,169
1/20/2014,1,20,Monday,1,2014,1,105
1/21/2014,1,21,Tuesday,2,2014,1,103
1/22/2014,1,22,Wednesday,3,2014,1,132
1/23/2014,1,23,Thursday,4,2014,1,140
1/24/2014,1,24,Friday,5,2014,1,180
1/25/2014,1,25,Saturday,6,2014,1,173
1/26/2014,1,26,Sunday,7,2014,1,163
1/27/2014,1,27,Monday,1,2014,1,107
1/28/2014,1,28,Tuesday,2,2014,1,110
1/29/2014,1,29,Wednesday,3,2014,1,130
1/30/2014,1,30,Thursday,4,2014,1,157
1/31/2014,1,31,Friday,5,2014,1,153
2/1/2014,2,1,Saturday,6,2014,1,171
2/2/2014,2,2,Sunday,7,2014,1,163
2/3/2014,2,3,Monday,1,2014,1,113
2/4/2014,2,4,Tuesday,2,2014,1,147
2/5/2014,2,5,Wednesday,3,2014,1,168
2/6/2014,2,6,Thursday,4,2014,1,175
2/7/2014,2,7,Friday,5,2014,1,165
2/8/2014,2,8,Saturday,6,2014,1,178
2/9/2014,2,9,Sunday,7,2014,1,184
2/10/2014,2,10,Monday,1,2014,1,121
2/11/2014,2,11,Tuesday,2,2014,1,132
2/12/2014,2,12,Wednesday,3,2014,1,126
2/13/2014,2,13,Thursday,4,2014,1,139
2/14/2014,2,14,Friday,5,2014,1,169
2/15/2014,2,15,Saturday,6,2014,1,164
2/16/2014,2,16,Sunday,7,2014,1,193
2/17/2014,2,17,Monday,1,2014,1,106
2/18/2014,2,18,Tuesday,2,2014,1,144
2/19/2014,2,19,Wednesday,3,2014,1,145
2/20/2014,2,20,Thursday,4,2014,1,161
2/21/2014,2,21,Friday,5,2014,1,191
2/22/2014,2,22,Saturday,6,2014,1,175
2/23/2014,2,23,Sunday,7,2014,1,183
2/24/2014,2,24,Monday,1,2014,1,131
2/25/2014,2,25,Tuesday,2,2014,1,155
2/26/2014,2,26,Wednesday,3,2014,1,180
2/27/2014,2,27,Thursday,4,2014,1,137
2/28/2014,2,28,Friday,5,2014,1,175
3/1/2014,3,1,Saturday,6,2014,1,199
3/2/2014,3,2,Sunday,7,2014,1,217
3/3/2014,3,3,Monday,1,2014,1,169
3/4/2014,3,4,Tuesday,2,2014,1,166
3/5/2014,3,5,Wednesday,3,2014,1,210
3/6/2014,3,6,Thursday,4,2014,1,185
3/7/2014,3,7,Friday,5,2014,1,174
3/8/2014,3,8,Saturday,6,2014,1,202
3/9/2014,3,9,Sunday,7,2014,1,205
3/10/2014,3,10,Monday,1,2014,1,149
3/11/2014,3,11,Tuesday,2,2014,1,195
3/12/2014,3,12,Wednesday,3,2014,1,188
3/13/2014,3,13,Thursday,4,2014,1,185
3/14/2014,3,14,Friday,5,2014,1,180
3/15/2014,3,15,Saturday,6,2014,1,213
3/16/2014,3,16,Sunday,7,2014,1,235
3/17/2014,3,17,Monday,1,2014,1,151
3/18/2014,3,18,Tuesday,2,2014,1,160
3/19/2014,3,19,Wednesday,3,2014,1,180
3/20/2014,3,20,Thursday,4,2014,1,179
3/21/2014,3,21,Friday,5,2014,1,199
3/22/2014,3,22,Saturday,6,2014,1,237
3/23/2014,3,23,Sunday,7,2014,1,235
3/24/2014,3,24,Monday,1,2014,1,147
3/25/2014,3,25,Tuesday,2,2014,1,176
3/26/2014,3,26,Wednesday,3,2014,1,208
3/27/2014,3,27,Thursday,4,2014,1,144
3/28/2014,3,28,Friday,5,2014,1,193
3/29/2014,3,29,Saturday,6,2014,1,213
3/30/2014,3,30,Sunday,7,2014,1,234
3/31/2014,3,31,Monday,1,2014,1,132
4/1/2014,4,1,Tuesday,2,2014,1,216
4/2/2014,4,2,Wednesday,3,2014,1,185
4/3/2014,4,3,Thursday,4,2014,1,195
4/4/2014,4,4,Friday,5,2014,1,228
4/5/2014,4,5,Saturday,6,2014,1,263
4/6/2014,4,6,Sunday,7,2014,1,281
4/7/2014,4,7,Monday,1,2014,1,149
4/8/2014,4,8,Tuesday,2,2014,1,224
4/9/2014,4,9,Wednesday,3,2014,1,194
4/10/2014,4,10,Thursday,4,2014,1,226
4/11/2014,4,11,Friday,5,2014,1,216
4/12/2014,4,12,Saturday,6,2014,1,235
4/13/2014,4,13,Sunday,7,2014,1,258
4/14/2014,4,14,Monday,1,2014,1,176
4/15/2014,4,15,Tuesday,2,2014,1,186
4/16/2014,4,16,Wednesday,3,2014,1,189
4/17/2014,4,17,Thursday,4,2014,1,213
4/18/2014,4,18,Friday,5,2014,1,236
4/19/2014,4,19,Saturday,6,2014,1,259
4/20/2014,4,20,Sunday,7,2014,1,264
4/21/2014,4,21,Monday,1,2014,1,178
4/22/2014,4,22,Tuesday,2,2014,1,201
4/23/2014,4,23,Wednesday,3,2014,1,227
4/24/2014,4,24,Thursday,4,2014,1,247
4/25/2014,4,25,Friday,5,2014,1,241
4/26/2014,4,26,Saturday,6,2014,1,221
4/27/2014,4,27,Sunday,7,2014,1,264
4/28/2014,4,28,Monday,1,2014,1,161
4/29/2014,4,29,Tuesday,2,2014,1,224
4/30/2014,4,30,Wednesday,3,2014,1,195
5/1/2014,5,1,Thursday,4,2014,1,232
5/2/2014,5,2,Friday,5,2014,1,253
5/3/2014,5,3,Saturday,6,2014,1,250
5/4/2014,5,4,Sunday,7,2014,1,282
5/5/2014,5,5,Monday,1,2014,1,192
5/6/2014,5,6,Tuesday,2,2014,1,246
5/7/2014,5,7,Wednesday,3,2014,1,195
5/8/2014,5,8,Thursday,4,2014,1,228
5/9/2014,5,9,Friday,5,2014,1,257
5/10/2014,5,10,Saturday,6,2014,1,242
5/11/2014,5,11,Sunday,7,2014,1,285
5/12/2014,5,12,Monday,1,2014,1,179
5/13/2014,5,13,Tuesday,2,2014,1,219
5/14/2014,5,14,Wednesday,3,2014,1,239
5/15/2014,5,15,Thursday,4,2014,1,258
5/16/2014,5,16,Friday,5,2014,1,242
5/17/2014,5,17,Saturday,6,2014,1,279
5/18/2014,5,18,Sunday,7,2014,1,260
5/19/2014,5,19,Monday,1,2014,1,194
5/20/2014,5,20,Tuesday,2,2014,1,227
5/21/2014,5,21,Wednesday,3,2014,1,213
5/22/2014,5,22,Thursday,4,2014,1,234
5/23/2014,5,23,Friday,5,2014,1,244
5/24/2014,5,24,Saturday,6,2014,1,264
5/25/2014,5,25,Sunday,7,2014,1,278
5/26/2014,5,26,Monday,1,2014,1,169
5/27/2014,5,27,Tuesday,2,2014,1,224
5/28/2014,5,28,Wednesday,3,2014,1,220
5/29/2014,5,29,Thursday,4,2014,1,244
5/30/2014,5,30,Friday,5,2014,1,264
5/31/2014,5,31,Saturday,6,2014,1,257
6/1/2014,6,1,Sunday,7,2014,1,326
6/2/2014,6,2,Monday,1,2014,1,165
6/3/2014,6,3,Tuesday,2,2014,1,238
6/4/2014,6,4,Wednesday,3,2014,1,245
6/5/2014,6,5,Thursday,4,2014,1,243
6/6/2014,6,6,Friday,5,2014,1,264
6/7/2014,6,7,Saturday,6,2014,1,304
6/8/2014,6,8,Sunday,7,2014,1,299
6/9/2014,6,9,Monday,1,2014,1,217
6/10/2014,6,10,Tuesday,2,2014,1,265
6/11/2014,6,11,Wednesday,3,2014,1,263
6/12/2014,6,12,Thursday,4,2014,1,260
6/13/2014,6,13,Friday,5,2014,1,277
6/14/2014,6,14,Saturday,6,2014,1,312
6/15/2014,6,15,Sunday,7,2014,1,325
6/16/2014,6,16,Monday,1,2014,1,215
6/17/2014,6,17,Tuesday,2,2014,1,263
6/18/2014,6,18,Wednesday,3,2014,1,237
6/19/2014,6,19,Thursday,4,2014,1,274
6/20/2014,6,20,Friday,5,2014,1,277
6/21/2014,6,21,Saturday,6,2014,1,301
6/22/2014,6,22,Sunday,7,2014,1,314
6/23/2014,6,23,Monday,1,2014,1,200
6/24/2014,6,24,Tuesday,2,2014,1,238
6/25/2014,6,25,Wednesday,3,2014,1,239
6/26/2014,6,26,Thursday,4,2014,1,263
6/27/2014,6,27,Friday,5,2014,1,269
6/28/2014,6,28,Saturday,6,2014,1,308
6/29/2014,6,29,Sunday,7,2014,1,297
6/30/2014,6,30,Monday,1,2014,1,190
7/1/2014,7,1,Tuesday,2,2014,1,216
7/2/2014,7,2,Wednesday,3,2014,1,242
7/3/2014,7,3,Thursday,4,2014,1,261
7/4/2014,7,4,Friday,5,2014,1,289
7/5/2014,7,5,Saturday,6,2014,1,318
7/6/2014,7,6,Sunday,7,2014,1,321
7/7/2014,7,7,Monday,1,2014,1,204
7/8/2014,7,8,Tuesday,2,2014,1,226
7/9/2014,7,9,Wednesday,3,2014,1,243
7/10/2014,7,10,Thursday,4,2014,1,255
7/11/2014,7,11,Friday,5,2014,1,267
