sn,date,Month,Day,calender day,Day_C,Year ,item,Month_1,Month_2,Month_3,Month_4,Month_5,Month_6,Month_7,Month_8,Month_9,Month_10,Month_11,Month_12,Day_C_1,Day_C_2,Day_C_3,Day_C_4,Day_C_5,Day_C_6,Day_C_7,4 days,3 days,2 days,1 day,TotalSales
39,2/9/2013,2,9,Saturday,6,2013,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,121,113,140,130,154
40,2/10/2013,2,10,Sunday,7,2013,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,113,140,130,154,151
41,2/11/2013,2,11,Monday,1,2013,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,140,130,154,151,111
42,2/12/2013,2,12,Tuesday,2,2013,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,130,154,151,111,127
43,2/13/2013,2,13,Wednesday,3,2013,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,154,151,111,127,133
44,2/14/2013,2,14,Thursday,4,2013,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,151,111,127,133,123
45,2/15/2013,2,15,Friday,5,2013,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,111,127,133,123,120
46,2/16/2013,2,16,Saturday,6,2013,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,127,133,123,120,154
47,2/17/2013,2,17,Sunday,7,2013,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,133,123,120,154,179
48,2/18/2013,2,18,Monday,1,2013,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,123,120,154,179,107
49,2/19/2013,2,19,Tuesday,2,2013,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,120,154,179,107,104
50,2/20/2013,2,20,Wednesday,3,2013,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,154,179,107,104,129
51,2/21/2013,2,21,Thursday,4,2013,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,179,107,104,129,136
52,2/22/2013,2,22,Friday,5,2013,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,107,104,129,136,142
53,2/23/2013,2,23,Saturday,6,2013,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,104,129,136,142,158
54,2/24/2013,2,24,Sunday,7,2013,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,129,136,142,158,185
55,2/25/2013,2,25,Monday,1,2013,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,136,142,158,185,111
56,2/26/2013,2,26,Tuesday,2,2013,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,142,158,185,111,132
57,2/27/2013,2,27,Wednesday,3,2013,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,158,185,111,132,129
58,2/28/2013,2,28,Thursday,4,2013,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,185,111,132,129,159
59,3/1/2013,3,1,Friday,5,2013,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,111,132,129,159,164
60,3/2/2013,3,2,Saturday,6,2013,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,132,129,159,164,203
61,3/3/2013,3,3,Sunday,7,2013,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,129,159,164,203,198
62,3/4/2013,3,4,Monday,1,2013,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,159,164,203,198,156
63,3/5/2013,3,5,Tuesday,2,2013,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,164,203,198,156,150
64,3/6/2013,3,6,Wednesday,3,2013,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,203,198,156,150,170
65,3/7/2013,3,7,Thursday,4,2013,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,198,156,150,170,169
66,3/8/2013,3,8,Friday,5,2013,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,156,150,170,169,166
67,3/9/2013,3,9,Saturday,6,2013,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,150,170,169,166,176
68,3/10/2013,3,10,Sunday,7,2013,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,170,169,166,176,195
69,3/11/2013,3,11,Monday,1,2013,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,169,166,176,195,133
70,3/12/2013,3,12,Tuesday,2,2013,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,166,176,195,133,171
71,3/13/2013,3,13,Wednesday,3,2013,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,176,195,133,171,159
72,3/14/2013,3,14,Thursday,4,2013,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,195,133,171,159,162
73,3/15/2013,3,15,Friday,5,2013,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,133,171,159,162,160
74,3/16/2013,3,16,Saturday,6,2013,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,171,159,162,160,161
75,3/17/2013,3,17,Sunday,7,2013,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,159,162,160,161,188
76,3/18/2013,3,18,Monday,1,2013,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,162,160,161,188,130
77,3/19/2013,3,19,Tuesday,2,2013,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,160,161,188,130,153
78,3/20/2013,3,20,Wednesday,3,2013,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,161,188,130,153,157
79,3/21/2013,3,21,Thursday,4,2013,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,188,130,153,157,173
80,3/22/2013,3,22,Friday,5,2013,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,130,153,157,173,178
81,3/23/2013,3,23,Saturday,6,2013,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,153,157,173,178,178
82,3/24/2013,3,24,Sunday,7,2013,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,157,173,178,178,191
83,3/25/2013,3,25,Monday,1,2013,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,173,178,178,191,134
84,3/26/2013,3,26,Tuesday,2,2013,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,178,178,191,134,148
85,3/27/2013,3,27,Wednesday,3,2013,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,178,191,134,148,136
86,3/28/2013,3,28,Thursday,4,2013,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,191,134,148,136,166
87,3/29/2013,3,29,Friday,5,2013,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,134,148,136,166,181
88,3/30/2013,3,30,Saturday,6,2013,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,148,136,166,181,181
89,3/31/2013,3,31,Sunday,7,2013,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,136,166,181,181,203
90,4/1/2013,4,1,Monday,1,2013,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,166,181,181,203,134
91,4/2/2013,4,2,Tuesday,2,2013,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,181,181,203,134,187
92,4/3/2013,4,3,Wednesday,3,2013,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,181,203,134,187,210
93,4/4/2013,4,4,Thursday,4,2013,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,203,134,187,210,229
94,4/5/2013,4,5,Friday,5,2013,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,134,187,210,229,199
95,4/6/2013,4,6,Saturday,6,2013,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,187,210,229,199,219
96,4/7/2013,4,7,Sunday,7,2013,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,210,229,199,219,244
97,4/8/2013,4,8,Monday,1,2013,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,229,199,219,244,167
98,4/9/2013,4,9,Tuesday,2,2013,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,199,219,244,167,149
99,4/10/2013,4,10,Wednesday,3,2013,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,219,244,167,149,183
100,4/11/2013,4,11,Thursday,4,2013,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,244,167,149,183,202
101,4/12/2013,4,12,Friday,5,2013,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,167,149,183,202,209
102,4/13/2013,4,13,Saturday,6,2013,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,149,183,202,209,210
103,4/14/2013,4,14,Sunday,7,2013,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,183,202,209,210,259
104,4/15/2013,4,15,Monday,1,2013,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,202,209,210,259,139
105,4/16/2013,4,16,Tuesday,2,2013,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,209,210,259,139,155
106,4/17/2013,4,17,Wednesday,3,2013,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,210,259,139,155,174
107,4/18/2013,4,18,Thursday,4,2013,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,259,139,155,174,209
108,4/19/2013,4,19,Friday,5,2013,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,139,155,174,209,196
109,4/20/2013,4,20,Saturday,6,2013,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,155,174,209,196,221
110,4/21/2013,4,21,Sunday,7,2013,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,174,209,196,221,238
111,4/22/2013,4,22,Monday,1,2013,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,209,196,221,238,144
112,4/23/2013,4,23,Tuesday,2,2013,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,196,221,238,144,164
113,4/24/2013,4,24,Wednesday,3,2013,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,221,238,144,164,173
114,4/25/2013,4,25,Thursday,4,2013,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,238,144,164,173,204
115,4/26/2013,4,26,Friday,5,2013,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,144,164,173,204,203
116,4/27/2013,4,27,Saturday,6,2013,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,164,173,204,203,208
117,4/28/2013,4,28,Sunday,7,2013,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,173,204,203,208,230
118,4/29/2013,4,29,Monday,1,2013,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,204,203,208,230,137
119,4/30/2013,4,30,Tuesday,2,2013,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,203,208,230,137,187
120,5/1/2013,5,1,Wednesday,3,2013,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,208,230,137,187,183
121,5/2/2013,5,2,Thursday,4,2013,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,230,137,187,183,214
122,5/3/2013,5,3,Friday,5,2013,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,137,187,183,214,190
123,5/4/2013,5,4,Saturday,6,2013,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,187,183,214,190,247
124,5/5/2013,5,5,Sunday,7,2013,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,183,214,190,247,226
125,5/6/2013,5,6,Monday,1,2013,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,214,190,247,226,176
126,5/7/2013,5,7,Tuesday,2,2013,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,190,247,226,176,195
127,5/8/2013,5,8,Wednesday,3,2013,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,247,226,176,195,179
128,5/9/2013,5,9,Thursday,4,2013,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,226,176,195,179,209
129,5/10/2013,5,10,Friday,5,2013,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,176,195,179,209,232
130,5/11/2013,5,11,Saturday,6,2013,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,195,179,209,232,208
131,5/12/2013,5,12,Sunday,7,2013,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,179,209,232,208,224
132,5/13/2013,5,13,Monday,1,2013,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,209,232,208,224,157
133,5/14/2013,5,14,Tuesday,2,2013,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,232,208,224,157,196
134,5/15/2013,5,15,Wednesday,3,2013,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,208,224,157,196,187
135,5/16/2013,5,16,Thursday,4,2013,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,224,157,196,187,190
136,5/17/2013,5,17,Friday,5,2013,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,157,196,187,190,220
137,5/18/2013,5,18,Saturday,6,2013,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,196,187,190,220,223
138,5/19/2013,5,19,Sunday,7,2013,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,187,190,220,223,255
139,5/20/2013,5,20,Monday,1,2013,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,190,220,223,255,166
140,5/21/2013,5,21,Tuesday,2,2013,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,220,223,255,166,167
141,5/22/2013,5,22,Wednesday,3,2013,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,223,255,166,167,198
142,5/23/2013,5,23,Thursday,4,2013,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,255,166,167,198,201
143,5/24/2013,5,24,Friday,5,2013,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,166,167,198,201,213
144,5/25/2013,5,25,Saturday,6,2013,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,167,198,201,213,250
145,5/26/2013,5,26,Sunday,7,2013,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,198,201,213,250,259
146,5/27/2013,5,27,Monday,1,2013,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,201,213,250,259,155
147,5/28/2013,5,28,Tuesday,2,2013,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,213,250,259,155,194
148,5/29/2013,5,29,Wednesday,3,2013,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,250,259,155,194,193
149,5/30/2013,5,30,Thursday,4,2013,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,259,155,194,193,177
150,5/31/2013,5,31,Friday,5,2013,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,155,194,193,177,214
151,6/1/2013,6,1,Saturday,6,2013,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,194,193,177,214,263
152,6/2/2013,6,2,Sunday,7,2013,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,193,177,214,263,274
153,6/3/2013,6,3,Monday,1,2013,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,177,214,263,274,176
154,6/4/2013,6,4,Tuesday,2,2013,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,214,263,274,176,208
155,6/5/2013,6,5,Wednesday,3,2013,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,263,274,176,208,218
156,6/6/2013,6,6,Thursday,4,2013,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,274,176,208,218,186
157,6/7/2013,6,7,Friday,5,2013,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,176,208,218,186,234
158,6/8/2013,6,8,Saturday,6,2013,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,208,218,186,234,251
159,6/9/2013,6,9,Sunday,7,2013,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,218,186,234,251,256
160,6/10/2013,6,10,Monday,1,2013,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,186,234,251,256,172
161,6/11/2013,6,11,Tuesday,2,2013,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,234,251,256,172,227
162,6/12/2013,6,12,Wednesday,3,2013,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,251,256,172,227,217
163,6/13/2013,6,13,Thursday,4,2013,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,256,172,227,217,224
164,6/14/2013,6,14,Friday,5,2013,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,172,227,217,224,220
165,6/15/2013,6,15,Saturday,6,2013,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,227,217,224,220,244
166,6/16/2013,6,16,Sunday,7,2013,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,217,224,220,244,256
167,6/17/2013,6,17,Monday,1,2013,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,224,220,244,256,190
168,6/18/2013,6,18,Tuesday,2,2013,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,220,244,256,190,199
169,6/19/2013,6,19,Wednesday,3,2013,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,244,256,190,199,203
170,6/20/2013,6,20,Thursday,4,2013,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,256,190,199,203,225
171,6/21/2013,6,21,Friday,5,2013,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,190,199,203,225,245
172,6/22/2013,6,22,Saturday,6,2013,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,199,203,225,245,240
173,6/23/2013,6,23,Sunday,7,2013,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,203,225,245,240,263
174,6/24/2013,6,24,Monday,1,2013,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,225,245,240,263,188
175,6/25/2013,6,25,Tuesday,2,2013,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,245,240,263,188,200
176,6/26/2013,6,26,Wednesday,3,2013,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,240,263,188,200,195
177,6/27/2013,6,27,Thursday,4,2013,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,263,188,200,195,226
178,6/28/2013,6,28,Friday,5,2013,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,188,200,195,226,213
179,6/29/2013,6,29,Saturday,6,2013,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,200,195,226,213,260
180,6/30/2013,6,30,Sunday,7,2013,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,195,226,213,260,266
181,7/1/2013,7,1,Monday,1,2013,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,226,213,260,266,206
182,7/2/2013,7,2,Tuesday,2,2013,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,213,260,266,206,202
183,7/3/2013,7,3,Wednesday,3,2013,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,260,266,206,202,198
184,7/4/2013,7,4,Thursday,4,2013,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,266,206,202,198,215
185,7/5/2013,7,5,Friday,5,2013,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,206,202,198,215,261
186,7/6/2013,7,6,Saturday,6,2013,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,202,198,215,261,253
187,7/7/2013,7,7,Sunday,7,2013,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,198,215,261,253,258
188,7/8/2013,7,8,Monday,1,2013,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,215,261,253,258,202
189,7/9/2013,7,9,Tuesday,2,2013,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,261,253,258,202,230
190,7/10/2013,7,10,Wednesday,3,2013,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,253,258,202,230,209
